world           face                  preset   px   wordmark ink bbox   cursor bbox         l ink bbox          aw baseline
Tawny           IBM Plex Mono         block    256  (26, 81, 227, 173)  (168, 49, 235, 196) (175, 81, 227, 171) 173
Tawny           IBM Plex Mono         block    128  (13, 40, 113, 85)   (84, 24, 117, 98)   (88, 40, 113, 84)   85
Tawny           IBM Plex Mono         block     64  (6, 19, 56, 42)     (42, 12, 58, 48)    (44, 19, 56, 41)    42
Tawny           IBM Plex Mono         block     44  (4, 13, 38, 29)     (29, 7, 40, 33)     (30, 13, 38, 28)    29
Tawny           IBM Plex Mono         block     32  (3, 10, 25, 20)     (21, 6, 28, 23)     (24, 10, 25, 19)    20
Tawny           IBM Plex Mono         block     24  (2, 10, 21, 18)     (15, 4, 22, 18)     (16, 18, 21, 18)    15
Mopoke          Bitter                pill     256  (35, 76, 223, 171)  (188, 49, 229, 185) (195, 76, 223, 170) 171
Mopoke          Bitter                pill     128  (17, 38, 111, 85)   (94, 25, 114, 92)   (97, 38, 111, 84)   85
Mopoke          Bitter                pill      64  (8, 19, 55, 43)     (47, 11, 57, 45)    (49, 19, 55, 42)    43
Mopoke          Bitter                pill      44  (6, 12, 38, 27)     (32, 7, 39, 31)     (34, 12, 38, 27)    27
Mopoke          Bitter                pill      32  (4, 11, 26, 19)     (24, 5, 28, 22)     (26, 13, 26, 18)    19
Mopoke          Bitter                pill      24  (3, 6, 19, 14)      (18, 3, 21, 16)     (19, 6, 19, 13)     14
Currawong       Iosevka               pill     256  (43, 89, 213, 173)  (183, 64, 216, 194) (185, 89, 213, 172) 173
Currawong       Iosevka               pill     128  (22, 44, 106, 86)   (91, 31, 107, 96)   (93, 44, 106, 85)   86
Currawong       Iosevka               pill      64  (11, 23, 52, 44)    (46, 15, 53, 48)    (47, 23, 52, 43)    44
Currawong       Iosevka               pill      44  (7, 15, 35, 28)     (31, 11, 36, 33)    (33, 15, 35, 28)    28
Currawong       Iosevka               pill      32  (5, 11, 25, 20)     (22, 7, 27, 24)     (24, 11, 25, 20)    20
Currawong       Iosevka               pill      24  (4, 8, 18, 15)      (17, 5, 19, 17)     (18, 8, 18, 15)     15
Potoroo         Monaspace Xenon       block    256  (21, 77, 233, 173)  (168, 58, 240, 188) (175, 77, 233, 171) 173
Potoroo         Monaspace Xenon       block    128  (10, 38, 116, 85)   (84, 29, 119, 93)   (87, 38, 116, 84)   85
Potoroo         Monaspace Xenon       block     64  (5, 19, 58, 43)     (42, 14, 59, 46)    (44, 19, 58, 42)    43
